idna_subject,checker_type,destination,tested_at
adopting.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:18:01.823111
adoptuj.edl.pl,AVAILABILITY,domains.list,2021-03-14 12:18:02.593879
adoptuj.pvi.pl,AVAILABILITY,domains.list,2021-03-14 12:18:03.114585
aktualizacjanetlfix.ahlalbeit.net,AVAILABILITY,domains.list,2021-03-14 12:18:10.923126
allegro.lokalnie.cash,AVAILABILITY,domains.list,2021-03-14 12:18:20.543194
allegro.lokalnie.cyou,AVAILABILITY,domains.list,2021-03-14 12:18:20.631619
allegro.lokalnie.fun,AVAILABILITY,domains.list,2021-03-14 12:18:22.816012
allegro.lokalnie.holdings,AVAILABILITY,domains.list,2021-03-14 12:18:25.016961
allegro.lokalnie.icu,AVAILABILITY,domains.list,2021-03-14 12:18:25.840378
allegro.lokalnie.me,AVAILABILITY,domains.list,2021-03-14 12:18:26.710636
allegro.pl.lokalnie.me,AVAILABILITY,domains.list,2021-03-14 12:18:28.931918
allegrolokalnie.com.de,AVAILABILITY,domains.list,2021-03-14 12:18:31.125010
bestagd.eu,AVAILABILITY,domains.list,2021-03-14 12:19:21.198091
brand.olxbank.bar,AVAILABILITY,domains.list,2021-03-14 12:19:41.290769
brudne-sprawy.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:19:44.627266
brzydale.ndl.pl,AVAILABILITY,domains.list,2021-03-14 12:19:45.828699
buytondiacyrid.tk,AVAILABILITY,domains.list,2021-03-14 12:19:52.751307
cennnik.in.net,AVAILABILITY,domains.list,2021-03-14 12:20:07.369228
czas-ujawnic-prawde.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:20:46.024253
d1b42iaez29svr.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:20:46.598048
d1tk7i92ddxa0d.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:20:47.642285
d1t1aszt9orebq.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:20:47.755500
d3m9mgvwtsfllj.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:20:48.137987
d3p3m76ag9gj6e.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:20:48.609093
delivery.olx.pl-confirmation.services,AVAILABILITY,domains.list,2021-03-14 12:21:09.357468
delivery.olx.pl-confirmation.live,AVAILABILITY,domains.list,2021-03-14 12:21:10.617991
delivery.olx.pl-confirmation.digital,AVAILABILITY,domains.list,2021-03-14 12:21:11.064491
delivery.olx.umowa.live,AVAILABILITY,domains.list,2021-03-14 12:21:16.070985
djrooby.pl,AVAILABILITY,domains.list,2021-03-14 12:21:26.498246
dlhpjqv3sbm68.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:21:29.112749
dm5s33kpu5h5p.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:21:29.797740
do8o0dvcbq05l.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:21:30.706043
dodatkowe-punkty.eu,AVAILABILITY,domains.list,2021-03-14 12:21:34.350057
dofy3te6wgg3l.cloudfront.net,AVAILABILITY,domains.list,2021-03-14 12:21:35.611234
dostawa.id16337889.com,AVAILABILITY,domains.list,2021-03-14 12:21:39.674382
dostawa.id5271441.biz,AVAILABILITY,domains.list,2021-03-14 12:21:39.990556
dostawa.id17356006.info,AVAILABILITY,domains.list,2021-03-14 12:21:40.073651
dostawa.id132598643.com,AVAILABILITY,domains.list,2021-03-14 12:21:40.424998
dostawa.id63418494.info,AVAILABILITY,domains.list,2021-03-14 12:21:40.632084
dostawe-olx.pl,AVAILABILITY,domains.list,2021-03-14 12:21:51.836776
drift-innovation.pl,AVAILABILITY,domains.list,2021-03-14 12:21:55.543025
drukmarket.eu,AVAILABILITY,domains.list,2021-03-14 12:21:57.881864
drukmet.eu,AVAILABILITY,domains.list,2021-03-14 12:21:57.924134
dpd-przesylki.pl,AVAILABILITY,domains.list,2021-03-14 12:21:58.757695
dziennikwirtualny.cal24.pl,AVAILABILITY,domains.list,2021-03-14 12:22:05.639573
edofinansowania.eu,AVAILABILITY,domains.list,2021-03-14 12:22:10.761244
etap-konkursiku.eu,AVAILABILITY,domains.list,2021-03-14 12:22:34.286700
fast.destinyfernandi.com,AVAILABILITY,domains.list,2021-03-14 12:23:13.721863
fotkizneta.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:24:08.788948
fotki-z-neta.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:24:08.855817
faktynews-online24.eu,AVAILABILITY,domains.list,2021-03-14 12:24:14.384007
gazeta.kutno.pl,AVAILABILITY,domains.list,2021-03-14 12:24:36.399640
gazeta-polska24.99e.pl,AVAILABILITY,domains.list,2021-03-14 12:24:40.278568
handel24.cal24.pl,AVAILABILITY,domains.list,2021-03-14 12:25:19.774168
higiena-koronawirus.pl,AVAILABILITY,domains.list,2021-03-14 12:25:32.272420
info48.cal24.pl,AVAILABILITY,domains.list,2021-03-14 12:26:11.926033
info24-polska.vot.pl,AVAILABILITY,domains.list,2021-03-14 12:26:13.382977
hostname24.eu,AVAILABILITY,domains.list,2021-03-14 12:26:29.318917
inpost.pl-cash.xyz,AVAILABILITY,domains.list,2021-03-14 12:26:48.049238
inpost.pl-deals.club,AVAILABILITY,domains.list,2021-03-14 12:26:48.589253
inpost.pl-deals.casa,AVAILABILITY,domains.list,2021-03-14 12:26:50.600748
ing-ll.pl,AVAILABILITY,domains.list,2021-03-14 12:26:54.468546
inpost.pl-deals.icu,AVAILABILITY,domains.list,2021-03-14 12:26:54.575083
inpost.pl-deals.cyou,AVAILABILITY,domains.list,2021-03-14 12:26:54.787560
inpost.pl-dostawa.cyou,AVAILABILITY,domains.list,2021-03-14 12:26:59.273200
inpost.pl-deals.surf,AVAILABILITY,domains.list,2021-03-14 12:26:59.862100
inpost.pl-getcash.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:00.826050
inpost.pl-getdeal.club,AVAILABILITY,domains.list,2021-03-14 12:27:01.354348
inpost.pl-getdeal.casa,AVAILABILITY,domains.list,2021-03-14 12:27:01.790635
inpost.pl-getcash.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:01.845376
inpost.pl-getdeal.store,AVAILABILITY,domains.list,2021-03-14 12:27:03.277014
inpost.pl-getdeal.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:03.906350
inpost.pl-getdeal.icu,AVAILABILITY,domains.list,2021-03-14 12:27:07.911908
inpost.pl-getdeal.work,AVAILABILITY,domains.list,2021-03-14 12:27:09.258768
inpost.pl-getdeal.surf,AVAILABILITY,domains.list,2021-03-14 12:27:09.268624
inpost.pl-getdeals.store,AVAILABILITY,domains.list,2021-03-14 12:27:13.822453
inpost.pl-getdeal.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:13.906263
inpost.pl-getdeals.surf,AVAILABILITY,domains.list,2021-03-14 12:27:15.203194
inpost.pl-getdeals.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:15.809615
inpost.pl-getorder.store,AVAILABILITY,domains.list,2021-03-14 12:27:16.600283
inpost.pl-getdeals.work,AVAILABILITY,domains.list,2021-03-14 12:27:17.288270
inpost.pl-getmoney.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:19.065833
inpost.pl-getpay.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:20.065715
inpost.pl-oferta.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:23.350855
inpost.pl-receive.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:23.970910
inpost.pl-receive.store,AVAILABILITY,domains.list,2021-03-14 12:27:24.673566
inpost.pl-receive.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:25.080006
inpost.pl-oferta.surf,AVAILABILITY,domains.list,2021-03-14 12:27:26.595159
inpost.pl-safedeal.club,AVAILABILITY,domains.list,2021-03-14 12:27:27.350773
inpost.pl-receive.work,AVAILABILITY,domains.list,2021-03-14 12:27:27.579911
inpost.pl-safedeal.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:30.644675
inpost.pl-safedeal.casa,AVAILABILITY,domains.list,2021-03-14 12:27:30.881105
inpost.pl-safedeal.icu,AVAILABILITY,domains.list,2021-03-14 12:27:31.891641
inpost.pl-safedeal.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:32.489097
inpost.pl-safedeal.shop,AVAILABILITY,domains.list,2021-03-14 12:27:33.267959
inpost.pl-safedeals.casa,AVAILABILITY,domains.list,2021-03-14 12:27:35.592242
inpost.pl-safedeals.cyou,AVAILABILITY,domains.list,2021-03-14 12:27:36.007600
inpost.pl-safedeal.surf,AVAILABILITY,domains.list,2021-03-14 12:27:36.559372
inpost.pl-safedeals.store,AVAILABILITY,domains.list,2021-03-14 12:27:36.855551
inpost.pl-safedeals.icu,AVAILABILITY,domains.list,2021-03-14 12:27:38.452823
inpost.pl-safedeals.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:38.984006
inpost.pl-safely.store,AVAILABILITY,domains.list,2021-03-14 12:27:39.310602
inpost.pl-safedeals.surf,AVAILABILITY,domains.list,2021-03-14 12:27:40.342559
inpost.pl-safedeals.work,AVAILABILITY,domains.list,2021-03-14 12:27:41.436588
inpost.pl-safely.work,AVAILABILITY,domains.list,2021-03-14 12:27:42.588226
inpost.pl-savecash.store,AVAILABILITY,domains.list,2021-03-14 12:27:42.848864
inpost.pl-savedeals.casa,AVAILABILITY,domains.list,2021-03-14 12:27:45.290763
inpost.pl-savedeal.work,AVAILABILITY,domains.list,2021-03-14 12:27:47.636449
inpost.pl-savedeals.store,AVAILABILITY,domains.list,2021-03-14 12:27:47.694868
inpost.pl-savedeals.work,AVAILABILITY,domains.list,2021-03-14 12:27:47.830737
inpost.pl-savedeals.xyz,AVAILABILITY,domains.list,2021-03-14 12:27:48.139933
inpost.pl-saveorder.work,AVAILABILITY,domains.list,2021-03-14 12:27:49.808660
