subject,idna_subject,expiration_date,epoch,registrar
02-wiadomosci.com.pl,02-wiadomosci.com.pl,20-jul-2021,1626739200.0,
02-wiadomosci.com.pl,02-wiadomosci.com.pl,20-jul-2021,1626739200.0,
0ff.page,0ff.page,09-mar-2021,1615248000.0,
0ff.page,0ff.page,09-mar-2021,1615248000.0,
0n.click,0n.click,04-feb-2021,1612396800.0,
0n.click,0n.click,04-feb-2021,1612396800.0,
0pen.page,0pen.page,23-feb-2021,1614038400.0,
0pen.page,0pen.page,23-feb-2021,1614038400.0,
100dnidlasyrii.pl,100dnidlasyrii.pl,04-jul-2021,1625356800.0,
100dnidlasyrii.pl,100dnidlasyrii.pl,04-jul-2021,1625356800.0,
123kredyt.com,123kredyt.com,08-apr-2021,1617840000.0,
123kredyt.com,123kredyt.com,08-apr-2021,1617840000.0,
123movies.my.id,123movies.my.id,27-jan-2021,1611705600.0,
123movies.my.id,123movies.my.id,27-jan-2021,1611705600.0,
1bitstudio.pl,1bitstudio.pl,11-may-2021,1620691200.0,
1bitstudio.pl,1bitstudio.pl,11-may-2021,1620691200.0,
1btcnews.buzz,1btcnews.buzz,02-jul-2021,1625184000.0,
1btcnews.buzz,1btcnews.buzz,02-jul-2021,1625184000.0,
247platnosc.online,247platnosc.online,31-mar-2021,1617148800.0,
247platnosc.online,247platnosc.online,31-mar-2021,1617148800.0,
247platnosci.online,247platnosci.online,28-mar-2021,1616889600.0,
247platnosci.online,247platnosci.online,28-mar-2021,1616889600.0,
24ekspres.online,24ekspres.online,06-apr-2021,1617667200.0,
24ekspres.online,24ekspres.online,06-apr-2021,1617667200.0,
24gwaltfakt.com.pl,24gwaltfakt.com.pl,14-may-2021,1620950400.0,
24gwaltfakt.com.pl,24gwaltfakt.com.pl,14-may-2021,1620950400.0,
24gwaltfakt.pl,24gwaltfakt.pl,14-may-2021,1620950400.0,
24gwaltfakt.pl,24gwaltfakt.pl,14-may-2021,1620950400.0,
24platnosci.online,24platnosci.online,28-mar-2021,1616889600.0,
24platnosci.online,24platnosci.online,28-mar-2021,1616889600.0,
2automatyczny-dozownik-mydla-pl.com,2automatyczny-dozownik-mydla-pl.com,12-mar-2021,1615507200.0,
2automatyczny-dozownik-mydla-pl.com,2automatyczny-dozownik-mydla-pl.com,12-mar-2021,1615507200.0,
2easy.pl,2easy.pl,05-may-2021,1620172800.0,
2easy.pl,2easy.pl,05-may-2021,1620172800.0,
3fazowa-ostrzalka-do-nozy-pl.com,3fazowa-ostrzalka-do-nozy-pl.com,12-jun-2021,1623456000.0,
3fazowa-ostrzalka-do-nozy-pl.com,3fazowa-ostrzalka-do-nozy-pl.com,12-jun-2021,1623456000.0,
3filmy.com,3filmy.com,27-mar-2021,1616803200.0,
3filmy.com,3filmy.com,27-mar-2021,1616803200.0,
4ksport.pl,4ksport.pl,23-may-2021,1621728000.0,
4ksport.pl,4ksport.pl,23-may-2021,1621728000.0,
4life.com,4life.com,22-may-2022,1653177600.0,
4life.com,4life.com,22-may-2022,1653177600.0,
4madesigngallerie.com.pl,4madesigngallerie.com.pl,14-jun-2021,1623628800.0,
