idna_subject,checker_type,destination,source,tested_at,session_id
0b8cc331813049912.temporary.link,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:47.294079,995e5b99bec9b8f8f06bda84
0lx.group,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:47.800528,995e5b99bec9b8f8f06bda84
0n.click,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:48.284873,995e5b99bec9b8f8f06bda84
0pen.page,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:48.772540,995e5b99bec9b8f8f06bda84
1bitstudio.pl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:50.089617,995e5b99bec9b8f8f06bda84
1btcnews.buzz,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:50.575261,995e5b99bec9b8f8f06bda84
1k-daily-profitz.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:51.076841,995e5b99bec9b8f8f06bda84
1loginpomoc.info.pl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:51.590128,995e5b99bec9b8f8f06bda84
1mpost.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:52.097096,995e5b99bec9b8f8f06bda84
1nposl.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:52.599754,995e5b99bec9b8f8f06bda84
1npost.net,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:53.104710,995e5b99bec9b8f8f06bda84
1slo.pl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:53.617862,995e5b99bec9b8f8f06bda84
2automatyczny-dozownik-mydla-pl.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:54.106121,995e5b99bec9b8f8f06bda84
2easy.pl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:54.595178,995e5b99bec9b8f8f06bda84
2remove.guide,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:55.513756,995e5b99bec9b8f8f06bda84
2-remove-virus.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:56.032990,995e5b99bec9b8f8f06bda84
2stroagefacility21.s3.eu-de.cloud-object-storage.appdomain.cloud,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:56.620604,995e5b99bec9b8f8f06bda84
2supermocna-tasma-klejaca-pl.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:57.126412,995e5b99bec9b8f8f06bda84
02-wiadomosci.com.pl,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:57.616793,995e5b99bec9b8f8f06bda84
03e1i.csb.app,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:58.176702,995e5b99bec9b8f8f06bda84
3fazowa-ostrzalka-do-nozy-pl.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:58.670291,995e5b99bec9b8f8f06bda84
3filmy.com,AVAILABILITY,domains.list,domains.list,2021-03-25 01:03:59.160131,995e5b99bec9b8f8f06bda84
3w2k701z6i94wgr.choobin-co.ir,AVAILABILITY,domains.list,domains.list,2021-03-25 01:04:00.377382,995e5b99bec9b8f8f06bda84
4.ogloszeniateraz97.club,AVAILABILITY,domains.list,domains.list,2021-03-25 01:04:01.267285,995e5b99bec9b8f8f06bda84
